time;Azymut:;Kąt;Pitch:;Kąt;Roll:
259;68.826;1.059;16.603
260;65.352;1.059;16.603
261;36.706;-3.793;8.622
262;39.316;-3.793;8.622
263;42.341;-11.017;15.975
264;39.912;-8.6;12.692
265;35.509;-8.6;12.692
266;27.845;-8.6;12.692
267;17.357;-20.885;11.100
268;17.091;-20.885;11.100
269;-14.312;-20.781;-5.785
270;-14.453;-16.717;-4.952
271;-19.636;-16.717;-4.952
272;-21.086;-16.717;-4.952
273;-13.589;-23.113;-2.247
274;-14.981;-23.113;-2.247
275;-28.631;-19.687;-9.126
276;-30.043;-10.589;-5.335
277;-31.429;-10.589;-5.335
278;-33.16;-10.589;-5.335
279;17.84;-3.84;10.298
280;-153.366;11.998;4.427
281;-149.534;11.998;4.427
282;81.271;2.985;41.945
283;84.446;2.985;41.945
284;-33.696;-8.41;-0.342
285;-31.33;-8.41;-0.342
286;-8.644;-27.654;2.584
287;-8.737;-27.654;2.584
288;-2.645;-19.758;6.221
289;-5.784;-19.758;6.221
290;-10.572;-22.636;3.648
291;-11.829;-22.636;3.648
292;-36.87;-13.394;-3.748
293;-34.182;-13.394;-3.748
294;-37.273;-5.828;0.359
295;-33.255;-5.828;0.359
296;-85.86;1.359;0.566
297;-137.708;1.359;0.566
298;30.437;-17.436;12.184
299;45.89;-17.436;12.184
